2012-02-29,17,1927346
2012-03-31,16,1813973
2012-04-30,17,1927346
2012-05-31,13,1473853
2012-06-30,12,1360480
2012-07-31,13,1473853
2012-08-31,17,1927346
2012-09-30,17,1927346
2012-10-31,17,1927346
2012-11-30,13,1473853
2012-12-31,16,1813973
2013-01-31,16,1813973
2013-02-28,15,1700600
2013-03-31,16,1813973
2013-04-30,17,1927346
2013-05-31,13,1473853
2013-06-30,12,1360480
2013-07-31,12,1360480
2013-08-31,17,1927346
2013-09-30,17,1927346
2013-10-31,17,1927346
2013-11-30,13,1473853
2013-12-31,15,1700600
2014-01-31,17,1927346
2014-02-28,17,1927346
2014-03-31,17,1927346
2014-04-30,18,2040720
2014-05-31,15,1700600
2014-06-30,12,1360480
2014-07-31,13,1473853
2014-08-31,21,2380840
2014-09-30,19,2154093
2014-10-31,18,2040720
2014-11-30,15,1700600
2014-12-31,16,1813973
2015-01-31,18,2040720
2015-02-28,18,2040720
2015-03-31,18,2040720
2015-04-30,18,2040720
2015-05-31,15,1700600
2015-06-30,13,1473853
2015-07-31,14,1587226
2015-08-31,19,2154093
2015-09-30,20,2267466
2015-10-31,23,2607586
2015-11-30,22,2494213
2015-12-31,19,2154093
2016-01-31,20,2267466
2016-02-29,18,2040720
2016-03-31,19,2154093
2016-04-30,20,2267466
2016-05-31,14,1587226
2016-06-30,13,1473853
2016-07-31,13,1473853
2016-08-31,18,2040720
2016-09-30,19,2154093
2016-10-31,24,2720960
2016-11-30,19,2154093
2016-12-31,20,2267466
2017-01-31,20,2267466
2017-02-28,21,2380840
2017-03-31,22,2494213
2017-04-30,21,2380840
2017-05-31,28,3174453
2017-06-30,14,1587226
2017-07-31,15,1700600
2017-08-31,21,2380840
2017-09-30,20,2267466
2017-10-31,22,2494213
2017-11-30,18,2040720
2017-12-31,18,2040720
2018-01-31,19,2154093
2018-02-28,19,2154093
2018-03-31,20,2267466
2018-04-30,20,2267466
2018-05-31,15,1700600
2018-06-30,13,1473853
2018-07-31,16,1813973
2018-08-31,19,2154093
2018-09-30,23,2607586
2018-10-31,22,2494213
2018-11-30,19,2154093
2018-12-31,20,2267466
2019-01-31,24,2720960
2019-02-28,26,2947707
2019-03-31,26,2947707
2019-04-30,26,2947707
2019-05-31,21,2380840
2019-06-30,18,2040720
2019-07-31,21,2380840
2019-08-31,45,5101800
2019-09-30,29,3287827
2019-10-31,28,3174453
2019-11-30,23,2607586
2019-12-31,27,3061080
2020-01-31,25,2834333
2020-02-29,21,2380840
2020-03-31,19,2154093
2020-04-30,20,2267466
2020-05-31,16,1813973
2020-06-30,15,1700600
2020-07-31,16,1813973
2020-08-31,27,3061080
2020-09-30,23,2607586
2020-10-31,20,2267466
2020-11-30,17,1927346
2020-12-31,21,2380840
2021-01-31,20,2267466
2021-02-28,19,2154093
2021-03-31,20,2267466
2021-04-30,19,2154093
2021-05-31,17,1927346
2021-06-30,16,1813973
2021-07-31,18,2040720
2021-08-31,22,2494213
2021-09-30,24,2720960
2021-10-31,25,2834333
2021-11-30,18,2040720
2021-12-31,22,2494213
2022-01-31,26,2947707
2022-02-28,30,3401200
2022-03-31,100,11337334
2022-04-30,32,3627947
2022-05-31,24,2720960
2022-06-30,22,2494213
2022-07-31,22,2494213
2022-08-31,28,3174453
2022-09-30,27,3061080
2022-10-31,31,3514573
2022-11-30,23,2607586
2022-12-31,26,2947707
2023-01-31,27,3061080
2023-02-28,28,3174453
2023-03-31,56,6348907
2023-04-30,29,3287827
2023-05-31,24,2720960
2023-06-30,22,2494213
2023-07-31,22,2494213
2023-08-31,27,3061080
2023-09-30,29,3287827
2023-10-31,28,3174453
2023-11-30,23,2607586
2023-12-31,25,2834333
2024-01-31,28,3174453
2024-02-29,26,2947707
2024-03-31,26,2947707
